country,province,region,municipality,name,website,medium,originalContent,releaseFrequency,commercialPublisher,publisher,individualOrOrganisation,contentType,contentArea,contentQuality
Nederland,Noord-Brabant,West-Brabant,Rucphen,Facebook: Rucphen toen en nu,https://www.facebook.com/rucphentoenennu,Facebookpagina,YES,WEEKLY,NO,Stichting Rucphen toen en nu,ORGANIZATION,JOURNALISM,Rucphen,LOW
Nederland,Noord-Brabant,West-Brabant,Zundert,Zundert.nieuws.nl,https://zundert.nieuws.nl/category/gemeente/,Nieuwssite,YES,UNSURE,YES,Nort Groep B.V.,ORGANIZATION,MIX,Zundert,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Zundert,Gemeente Zundert,https://www.zundert.nl/nieuws,Gemeentesite,YES,WEEKLY,NO,Gemeente Zundert,ORGANIZATION,SERVICE,Zundert,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Zundert,Corso Zundert,https://corsozundert.nl/nieuws/,Site vereniging,YES,UNSURE,NO,Corso Zundert,ORGANIZATION,MIX,Zundert,LOW
Nederland,Noord-Brabant,West-Brabant,Zundert,Klein Zundert Dorpsraad,https://www.kleinzundert.info/trends-and-insights,Nieuwssite,YES,UNSURE,NO,Klein Zundert Dorpsraad,ORGANIZATION,JOURNALISM,Zundert,LOW
Nederland,Noord-Brabant,West-Brabant,Zundert,Facebook: Zundert Breed,https://www.facebook.com/zundertbreed,Facebookpagina,MIX,WEEKLY,NO,-,INDIVIDUAL,MIX,Zundert,LOW
Nederland,Noord-Brabant,West-Brabant,Gilze-rijen,Gemeente Gilze-Rijen,https://www.gilzerijen.nl/nieuws-van-de-gemeente,Gemeentesite,YES,WEEKLY,NO,Gemeente Gilze-Rijen,ORGANIZATION,SERVICE,Gilze-rijen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Gilze-rijen,Gilze-en-rijen.nieuws.nl,https://gilze-en-rijen.nieuws.nl/category/gemeente/,Nieuwssite,NO,WEEKLY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Gilze-rijen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Gilze-rijen,Weekblad Gilze en Rijen,https://www.uitgeverijemdejong.nl/weekbladen/weekblad-gilze-en-rijen/,Krant,YES,WEEKLY,YES,Uitgeverij Em. de Jong,ORGANIZATION,JOURNALISM,Gilze-rijen,LOW
Nederland,Noord-Brabant,West-Brabant,Gilze-rijen,Hallo Gilze-rijen,https://www.hallogilzerijen.nl/category/nieuws/,Nieuwssite,YES,UNSURE,NO,Hallo Gilze-rijen,ORGANIZATION,SERVICE,Gilze-rijen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Bernheze,Gemeente Bernheze,https://www.bernheze.org/nieuws/,Gemeentesite,YES,WEEKLY,NO,Gemeente,ORGANIZATION,SERVICE,Bernheze,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Bernheze,Mooi Bernheze,https://www.mooibernheze.nl/,Nieuwssite,MIX,DAILY,YES,Bernheze Media,ORGANIZATION,JOURNALISM,Bernheze,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Bernheze,Bernheze.nieuws.nl,https://bernheze.nieuws.nl/,Nieuwssite,NO,WEEKLY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Bernheze,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Bernheze,Stichting Natuurtheater de Kersouwe,https://kersouwe.nl/,Site stichting,YES,UNSURE,NO,Stichting Natuurtheater de Kersouwe,ORGANIZATION,SERVICE,Bernheze,LOW
